instance,solver_dpll,num_vars_dpll,num_clauses_dpll,runtime_seconds_dpll,result_dpll,solver_walksat,num_vars_walksat,num_clauses_walksat,result_walksat,runtime_seconds_walksat,ratio_dpll,ratio_walksat,var_diff,clause_diff,var_ratio,clause_ratio,vars_times_clauses_dpll,clause_density_dpll,vars_times_clauses_walksat,clause_density_walksat,is_sudoku,is_random3sat,best_solver_actual
random3sat_bulk32.cnf,DPLL,50.0,350.0,0.0059,UNSAT,WalkSAT_Optimized,50.0,350.0,UNSAT,0.2959,6.9999998600000035,6.9999998600000035,0.0,0.0,0.9999999800000005,0.9999999971428571,17500.0,6.9999998600000035,17500.0,6.9999998600000035,0,1,0
random3sat_bulk34.cnf,DPLL,90.0,350.0,0.002,SAT,WalkSAT_Optimized,90.0,350.0,UNSAT,0.1614,3.8888888456790127,3.8888888456790127,0.0,0.0,0.9999999888888891,0.9999999971428571,31500.0,3.8888888456790127,31500.0,3.8888888456790127,0,1,0
random3sat_bulk35.cnf,DPLL,90.0,300.0,0.0,SAT,WalkSAT_Optimized,90.0,300.0,SAT,0.0047,3.333333296296297,3.333333296296297,0.0,0.0,0.9999999888888891,0.9999999966666667,27000.0,3.333333296296297,27000.0,3.333333296296297,0,1,0
random3sat_bulk37.cnf,DPLL,50.0,200.0,0.0,SAT,WalkSAT_Optimized,50.0,200.0,SAT,0.005,3.999999920000002,3.999999920000002,0.0,0.0,0.9999999800000005,0.999999995,10000.0,3.999999920000002,10000.0,3.999999920000002,0,1,0
random3sat_bulk38.cnf,DPLL,90.0,400.0,0.0025,UNSAT,WalkSAT_Optimized,90.0,400.0,UNSAT,0.1827,4.444444395061729,4.444444395061729,0.0,0.0,0.9999999888888891,0.9999999975,36000.0,4.444444395061729,36000.0,4.444444395061729,0,1,0
random3sat_bulk39.cnf,DPLL,60.0,400.0,0.0012,UNSAT,WalkSAT_Optimized,60.0,400.0,UNSAT,0.2934,6.666666555555557,6.666666555555557,0.0,0.0,0.9999999833333336,0.9999999975,24000.0,6.666666555555557,24000.0,6.666666555555557,0,1,0
random3sat_bulk4.cnf,DPLL,80.0,400.0,0.0022,UNSAT,WalkSAT_Optimized,80.0,400.0,UNSAT,0.2147,4.999999937500001,4.999999937500001,0.0,0.0,0.9999999875000002,0.9999999975,32000.0,4.999999937500001,32000.0,4.999999937500001,0,1,0
random3sat_bulk40.cnf,DPLL,50.0,300.0,0.0012,UNSAT,WalkSAT_Optimized,50.0,300.0,UNSAT,0.2499,5.9999998800000025,5.9999998800000025,0.0,0.0,0.9999999800000005,0.9999999966666667,15000.0,5.9999998800000025,15000.0,5.9999998800000025,0,1,0
random3sat_bulk41.cnf,DPLL,90.0,200.0,0.0022,SAT,WalkSAT_Optimized,90.0,200.0,SAT,0.0046,2.2222221975308645,2.2222221975308645,0.0,0.0,0.9999999888888891,0.999999995,18000.0,2.2222221975308645,18000.0,2.2222221975308645,0,1,0
random3sat_bulk43.cnf,DPLL,100.0,300.0,0.002,SAT,WalkSAT_Optimized,100.0,300.0,SAT,0.004,2.99999997,2.99999997,0.0,0.0,0.9999999900000002,0.9999999966666667,30000.0,2.99999997,30000.0,2.99999997,0,1,0
random3sat_bulk44.cnf,DPLL,60.0,200.0,0.003,SAT,WalkSAT_Optimized,60.0,200.0,SAT,0.0226,3.3333332777777787,3.3333332777777787,0.0,0.0,0.9999999833333336,0.999999995,12000.0,3.3333332777777787,12000.0,3.3333332777777787,0,1,0
random3sat_bulk42.cnf,DPLL,60.0,400.0,0.0045,UNSAT,WalkSAT_Optimized,60.0,400.0,UNSAT,0.2838,6.666666555555557,6.666666555555557,0.0,0.0,0.9999999833333336,0.9999999975,24000.0,6.666666555555557,24000.0,6.666666555555557,0,1,0
random3sat_bulk45.cnf,DPLL,70.0,300.0,0.0055,SAT,WalkSAT_Optimized,70.0,300.0,SAT,0.0449,4.285714224489797,4.285714224489797,0.0,0.0,0.9999999857142859,0.9999999966666667,21000.0,4.285714224489797,21000.0,4.285714224489797,0,1,0
random3sat_bulk47.cnf,DPLL,70.0,350.0,0.002,UNSAT,WalkSAT_Optimized,70.0,350.0,UNSAT,0.2056,4.999999928571429,4.999999928571429,0.0,0.0,0.9999999857142859,0.9999999971428571,24500.0,4.999999928571429,24500.0,4.999999928571429,0,1,0
random3sat_bulk46.cnf,DPLL,60.0,300.0,0.001,UNSAT,WalkSAT_Optimized,60.0,300.0,UNSAT,0.213,4.999999916666669,4.999999916666669,0.0,0.0,0.9999999833333336,0.9999999966666667,18000.0,4.999999916666669,18000.0,4.999999916666669,0,1,0
random3sat_bulk48.cnf,DPLL,100.0,300.0,0.001,SAT,WalkSAT_Optimized,100.0,300.0,SAT,0.0099,2.99999997,2.99999997,0.0,0.0,0.9999999900000002,0.9999999966666667,30000.0,2.99999997,30000.0,2.99999997,0,1,0
random3sat_bulk50.cnf,DPLL,80.0,300.0,0.0,SAT,WalkSAT_Optimized,80.0,300.0,SAT,0.0223,3.7499999531250006,3.7499999531250006,0.0,0.0,0.9999999875000002,0.9999999966666667,24000.0,3.7499999531250006,24000.0,3.7499999531250006,0,1,0
