instance,solver_dpll,num_vars_dpll,num_clauses_dpll,runtime_dpll,result_dpll,solver_walksat,num_vars_walksat,num_clauses_walksat,runtime_walksat,result_walksat,better_solver,ratio_dpll,type
random3sat_bulk19.cnf,DPLL,100,400,0.0015,SAT,WalkSAT,100,400,9.3072,UNSAT,1,4.0,Random3SAT
random3sat_bulk2.cnf,DPLL,60,300,0.0,UNSAT,WalkSAT,60,300,7.1937,UNSAT,1,5.0,Random3SAT
random3sat_bulk20.cnf,DPLL,60,300,0.0,UNSAT,WalkSAT,60,300,6.4321,UNSAT,1,5.0,Random3SAT
random3sat_bulk21.cnf,DPLL,90,400,0.001,UNSAT,WalkSAT,90,400,8.975,UNSAT,1,4.444444444444445,Random3SAT
random3sat_bulk22.cnf,DPLL,100,400,0.001,SAT,WalkSAT,100,400,1.8269,SAT,1,4.0,Random3SAT
random3sat_bulk23.cnf,DPLL,60,300,0.001,UNSAT,WalkSAT,60,300,7.5805,UNSAT,1,5.0,Random3SAT
random3sat_bulk24.cnf,DPLL,70,350,0.0,UNSAT,WalkSAT,70,350,7.9619,UNSAT,1,5.0,Random3SAT
random3sat_bulk25.cnf,DPLL,80,350,0.0011,UNSAT,WalkSAT,80,350,8.2346,UNSAT,1,4.375,Random3SAT
random3sat_bulk26.cnf,DPLL,50,300,0.0,UNSAT,WalkSAT,50,300,6.0211,UNSAT,1,6.0,Random3SAT
random3sat_bulk27.cnf,DPLL,100,350,0.0,SAT,WalkSAT,100,350,0.0806,SAT,1,3.5,Random3SAT
random3sat_bulk28.cnf,DPLL,90,200,0.0,SAT,WalkSAT,90,200,0.016,SAT,1,2.2222222222222223,Random3SAT
random3sat_bulk29.cnf,DPLL,90,400,0.0011,UNSAT,WalkSAT,90,400,9.2305,UNSAT,1,4.444444444444445,Random3SAT
random3sat_bulk3.cnf,DPLL,50,350,0.0,UNSAT,WalkSAT,50,350,6.8523,UNSAT,1,7.0,Random3SAT
random3sat_bulk30.cnf,DPLL,100,350,0.0,SAT,WalkSAT,100,350,0.181,SAT,1,3.5,Random3SAT
random3sat_bulk31.cnf,DPLL,70,200,0.0,SAT,WalkSAT,70,200,0.0212,SAT,1,2.857142857142857,Random3SAT
random3sat_bulk32.cnf,DPLL,50,350,0.0,UNSAT,WalkSAT,50,350,7.195,UNSAT,1,7.0,Random3SAT
random3sat_bulk33.cnf,DPLL,100,200,0.0,SAT,WalkSAT,100,200,0.0135,SAT,1,2.0,Random3SAT
random3sat_bulk34.cnf,DPLL,90,350,0.0,SAT,WalkSAT,90,350,1.4846,SAT,1,3.888888888888889,Random3SAT
random3sat_bulk35.cnf,DPLL,90,300,0.0,SAT,WalkSAT,90,300,0.0206,SAT,1,3.3333333333333335,Random3SAT
random3sat_bulk36.cnf,DPLL,80,300,0.001,SAT,WalkSAT,80,300,0.6719,SAT,1,3.75,Random3SAT
random3sat_bulk37.cnf,DPLL,50,200,0.0,SAT,WalkSAT,50,200,0.021,SAT,1,4.0,Random3SAT
random3sat_bulk38.cnf,DPLL,90,400,0.001,UNSAT,WalkSAT,90,400,8.6512,UNSAT,1,4.444444444444445,Random3SAT
random3sat_bulk39.cnf,DPLL,60,400,0.0,UNSAT,WalkSAT,60,400,8.4688,UNSAT,1,6.666666666666667,Random3SAT
random3sat_bulk4.cnf,DPLL,80,400,0.0,UNSAT,WalkSAT,80,400,8.7718,UNSAT,1,5.0,Random3SAT
random3sat_bulk40.cnf,DPLL,50,300,0.0,UNSAT,WalkSAT,50,300,7.4743,UNSAT,1,6.0,Random3SAT
random3sat_bulk41.cnf,DPLL,90,200,0.0,SAT,WalkSAT,90,200,0.0182,SAT,1,2.2222222222222223,Random3SAT
random3sat_bulk42.cnf,DPLL,60,400,0.0,UNSAT,WalkSAT,60,400,9.6568,UNSAT,1,6.666666666666667,Random3SAT
random3sat_bulk43.cnf,DPLL,100,300,0.0,SAT,WalkSAT,100,300,0.2073,SAT,1,3.0,Random3SAT
random3sat_bulk44.cnf,DPLL,60,200,0.0,SAT,WalkSAT,60,200,0.1852,SAT,1,3.3333333333333335,Random3SAT
random3sat_bulk45.cnf,DPLL,70,300,0.0,SAT,WalkSAT,70,300,11.1026,UNSAT,1,4.285714285714286,Random3SAT
random3sat_bulk46.cnf,DPLL,60,300,0.001,UNSAT,WalkSAT,60,300,8.7649,UNSAT,1,5.0,Random3SAT
random3sat_bulk47.cnf,DPLL,70,350,0.0,UNSAT,WalkSAT,70,350,9.1866,UNSAT,1,5.0,Random3SAT
random3sat_bulk48.cnf,DPLL,100,300,0.0,SAT,WalkSAT,100,300,0.0318,SAT,1,3.0,Random3SAT
random3sat_bulk49.cnf,DPLL,100,300,0.0,SAT,WalkSAT,100,300,0.2887,SAT,1,3.0,Random3SAT
random3sat_bulk5.cnf,DPLL,90,250,0.0,SAT,WalkSAT,90,250,0.0327,SAT,1,2.7777777777777777,Random3SAT
random3sat_bulk50.cnf,DPLL,80,300,0.0,SAT,WalkSAT,80,300,0.1429,SAT,1,3.75,Random3SAT
random3sat_bulk51.cnf,DPLL,60,400,0.0,UNSAT,WalkSAT,60,400,9.3657,UNSAT,1,6.666666666666667,Random3SAT
random3sat_bulk52.cnf,DPLL,50,350,0.0,UNSAT,WalkSAT,50,350,8.1904,UNSAT,1,7.0,Random3SAT
random3sat_bulk53.cnf,DPLL,90,300,0.0,SAT,WalkSAT,90,300,0.1306,SAT,1,3.3333333333333335,Random3SAT
random3sat_bulk54.cnf,DPLL,70,200,0.0,SAT,WalkSAT,70,200,0.0095,SAT,1,2.857142857142857,Random3SAT
random3sat_bulk55.cnf,DPLL,50,400,0.0,UNSAT,WalkSAT,50,400,11.0715,UNSAT,1,8.0,Random3SAT
random3sat_bulk56.cnf,DPLL,60,400,0.0,UNSAT,WalkSAT,60,400,9.8767,UNSAT,1,6.666666666666667,Random3SAT
random3sat_bulk57.cnf,DPLL,60,250,0.0009,UNSAT,WalkSAT,60,250,6.6187,UNSAT,1,4.166666666666667,Random3SAT
random3sat_bulk58.cnf,DPLL,50,350,0.0,UNSAT,WalkSAT,50,350,9.761,UNSAT,1,7.0,Random3SAT
random3sat_bulk59.cnf,DPLL,80,300,0.0,SAT,WalkSAT,80,300,0.2702,SAT,1,3.75,Random3SAT
random3sat_bulk6.cnf,DPLL,60,200,0.0,SAT,WalkSAT,60,200,0.2088,SAT,1,3.3333333333333335,Random3SAT
random3sat_bulk60.cnf,DPLL,100,300,0.0,SAT,WalkSAT,100,300,0.1284,SAT,1,3.0,Random3SAT
random3sat_bulk61.cnf,DPLL,70,400,0.0,UNSAT,WalkSAT,70,400,12.11,UNSAT,1,5.714285714285714,Random3SAT
random3sat_bulk62.cnf,DPLL,100,300,0.0,SAT,WalkSAT,100,300,0.0315,SAT,1,3.0,Random3SAT
random3sat_bulk63.cnf,DPLL,90,350,0.0021,SAT,WalkSAT,90,350,10.831,UNSAT,1,3.888888888888889,Random3SAT
random3sat_bulk64.cnf,DPLL,70,200,0.0,SAT,WalkSAT,70,200,0.013,SAT,1,2.857142857142857,Random3SAT
random3sat_bulk65.cnf,DPLL,60,350,0.0,UNSAT,WalkSAT,60,350,7.4179,UNSAT,1,5.833333333333333,Random3SAT
