instance,solver,num_vars,num_clauses,result
random3sat_realistic_160.cnf,WalkSAT_Optimized,60,300,UNSAT
random3sat_realistic_159.cnf,WalkSAT_Optimized,120,720,UNSAT
random3sat_realistic_162.cnf,WalkSAT_Optimized,60,300,UNSAT
random3sat_realistic_164.cnf,WalkSAT_Optimized,60,180,UNSAT
random3sat_realistic_165.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_163.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_169.cnf,WalkSAT_Optimized,50,150,SAT
random3sat_realistic_166.cnf,WalkSAT_Optimized,100,300,UNSAT
random3sat_realistic_170.cnf,WalkSAT_Optimized,50,150,SAT
random3sat_realistic_167.cnf,WalkSAT_Optimized,150,600,UNSAT
random3sat_realistic_171.cnf,WalkSAT_Optimized,120,360,SAT
random3sat_realistic_168.cnf,WalkSAT_Optimized,80,480,UNSAT
random3sat_realistic_17.cnf,WalkSAT_Optimized,120,600,UNSAT
random3sat_realistic_175.cnf,WalkSAT_Optimized,120,360,SAT
random3sat_realistic_172.cnf,WalkSAT_Optimized,100,500,UNSAT
random3sat_realistic_173.cnf,WalkSAT_Optimized,120,720,UNSAT
random3sat_realistic_174.cnf,WalkSAT_Optimized,150,600,UNSAT
random3sat_realistic_176.cnf,WalkSAT_Optimized,80,480,UNSAT
random3sat_realistic_177.cnf,WalkSAT_Optimized,80,480,UNSAT
random3sat_realistic_178.cnf,WalkSAT_Optimized,80,480,UNSAT
random3sat_realistic_179.cnf,WalkSAT_Optimized,150,750,UNSAT
random3sat_realistic_18.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_181.cnf,WalkSAT_Optimized,120,360,UNSAT
random3sat_realistic_183.cnf,WalkSAT_Optimized,50,200,UNSAT
random3sat_realistic_180.cnf,WalkSAT_Optimized,70,420,UNSAT
random3sat_realistic_182.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_184.cnf,WalkSAT_Optimized,150,450,UNSAT
random3sat_realistic_188.cnf,WalkSAT_Optimized,90,270,SAT
random3sat_realistic_187.cnf,WalkSAT_Optimized,50,150,UNSAT
random3sat_realistic_185.cnf,WalkSAT_Optimized,60,240,UNSAT
random3sat_realistic_186.cnf,WalkSAT_Optimized,100,400,UNSAT
random3sat_realistic_190.cnf,WalkSAT_Optimized,70,210,SAT
random3sat_realistic_189.cnf,WalkSAT_Optimized,50,200,UNSAT
random3sat_realistic_192.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_19.cnf,WalkSAT_Optimized,120,600,UNSAT
random3sat_realistic_191.cnf,WalkSAT_Optimized,120,480,UNSAT
random3sat_realistic_193.cnf,WalkSAT_Optimized,70,280,UNSAT
random3sat_realistic_194.cnf,WalkSAT_Optimized,120,480,UNSAT
random3sat_realistic_197.cnf,WalkSAT_Optimized,60,180,UNSAT
random3sat_realistic_195.cnf,WalkSAT_Optimized,50,250,UNSAT
random3sat_realistic_2.cnf,WalkSAT_Optimized,80,320,SAT
random3sat_realistic_196.cnf,WalkSAT_Optimized,120,720,UNSAT
random3sat_realistic_198.cnf,WalkSAT_Optimized,50,250,UNSAT
random3sat_realistic_199.cnf,WalkSAT_Optimized,80,480,UNSAT
random3sat_realistic_20.cnf,WalkSAT_Optimized,150,750,UNSAT
random3sat_realistic_200.cnf,WalkSAT_Optimized,150,900,UNSAT
random3sat_realistic_201.cnf,WalkSAT_Optimized,80,480,UNSAT
random3sat_realistic_202.cnf,WalkSAT_Optimized,70,350,UNSAT
random3sat_realistic_206.cnf,WalkSAT_Optimized,80,240,SAT
random3sat_realistic_203.cnf,WalkSAT_Optimized,50,300,UNSAT
random3sat_realistic_207.cnf,WalkSAT_Optimized,150,450,UNSAT
random3sat_realistic_208.cnf,WalkSAT_Optimized,80,240,UNSAT
random3sat_realistic_204.cnf,WalkSAT_Optimized,80,480,UNSAT
random3sat_realistic_210.cnf,WalkSAT_Optimized,100,300,SAT
random3sat_realistic_205.cnf,WalkSAT_Optimized,70,420,UNSAT
random3sat_realistic_21.cnf,WalkSAT_Optimized,80,240,UNSAT
random3sat_realistic_212.cnf,WalkSAT_Optimized,150,450,UNSAT
random3sat_realistic_211.cnf,WalkSAT_Optimized,60,300,UNSAT
random3sat_realistic_209.cnf,WalkSAT_Optimized,90,540,UNSAT
random3sat_realistic_216.cnf,WalkSAT_Optimized,80,240,SAT
random3sat_realistic_213.cnf,WalkSAT_Optimized,150,750,UNSAT
random3sat_realistic_215.cnf,WalkSAT_Optimized,120,360,UNSAT
random3sat_realistic_219.cnf,WalkSAT_Optimized,60,180,SAT
random3sat_realistic_214.cnf,WalkSAT_Optimized,150,900,UNSAT
random3sat_realistic_217.cnf,WalkSAT_Optimized,90,450,UNSAT
random3sat_realistic_22.cnf,WalkSAT_Optimized,70,210,UNSAT
random3sat_realistic_222.cnf,WalkSAT_Optimized,90,270,SAT
random3sat_realistic_218.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_224.cnf,WalkSAT_Optimized,60,180,SAT
random3sat_realistic_220.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_226.cnf,WalkSAT_Optimized,70,210,SAT
random3sat_realistic_227.cnf,WalkSAT_Optimized,90,270,SAT
random3sat_realistic_221.cnf,WalkSAT_Optimized,120,720,UNSAT
random3sat_realistic_229.cnf,WalkSAT_Optimized,90,270,SAT
random3sat_realistic_223.cnf,WalkSAT_Optimized,120,600,UNSAT
random3sat_realistic_225.cnf,WalkSAT_Optimized,60,240,UNSAT
random3sat_realistic_228.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_232.cnf,WalkSAT_Optimized,120,360,SAT
random3sat_realistic_23.cnf,WalkSAT_Optimized,70,350,UNSAT
random3sat_realistic_230.cnf,WalkSAT_Optimized,90,540,UNSAT
random3sat_realistic_231.cnf,WalkSAT_Optimized,80,320,UNSAT
random3sat_realistic_236.cnf,WalkSAT_Optimized,90,270,SAT
random3sat_realistic_234.cnf,WalkSAT_Optimized,120,360,UNSAT
random3sat_realistic_233.cnf,WalkSAT_Optimized,120,720,UNSAT
random3sat_realistic_235.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_237.cnf,WalkSAT_Optimized,100,600,UNSAT
random3sat_realistic_24.cnf,WalkSAT_Optimized,80,240,UNSAT
random3sat_realistic_239.cnf,WalkSAT_Optimized,60,240,UNSAT
random3sat_realistic_238.cnf,WalkSAT_Optimized,120,720,UNSAT
random3sat_realistic_241.cnf,WalkSAT_Optimized,100,300,UNSAT
random3sat_realistic_240.cnf,WalkSAT_Optimized,60,240,UNSAT
random3sat_realistic_243.cnf,WalkSAT_Optimized,120,600,UNSAT
random3sat_realistic_242.cnf,WalkSAT_Optimized,150,750,UNSAT
random3sat_realistic_245.cnf,WalkSAT_Optimized,150,600,UNSAT
random3sat_realistic_244.cnf,WalkSAT_Optimized,70,420,UNSAT
random3sat_realistic_246.cnf,WalkSAT_Optimized,120,480,UNSAT
random3sat_realistic_247.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_250.cnf,WalkSAT_Optimized,80,240,SAT
random3sat_realistic_25.cnf,WalkSAT_Optimized,100,300,UNSAT
random3sat_realistic_249.cnf,WalkSAT_Optimized,50,250,UNSAT
random3sat_realistic_248.cnf,WalkSAT_Optimized,100,500,UNSAT
random3sat_realistic_251.cnf,WalkSAT_Optimized,60,180,SAT
random3sat_realistic_254.cnf,WalkSAT_Optimized,60,180,UNSAT
random3sat_realistic_252.cnf,WalkSAT_Optimized,120,480,UNSAT
random3sat_realistic_253.cnf,WalkSAT_Optimized,60,240,UNSAT

random3sat_realistic_258.cnf,WalkSAT_Optimized,90,270,SAT
random3sat_realistic_256.cnf,WalkSAT_Optimized,120,360,SAT
random3sat_realistic_26.cnf,WalkSAT_Optimized,60,180,SAT
random3sat_realistic_259.cnf,WalkSAT_Optimized,70,280,UNSAT
random3sat_realistic_260.cnf,WalkSAT_Optimized,120,360,UNSAT
random3sat_realistic_257.cnf,WalkSAT_Optimized,150,900,UNSAT
random3sat_realistic_263.cnf,WalkSAT_Optimized,70,210,SAT
random3sat_realistic_261.cnf,WalkSAT_Optimized,100,600,UNSAT
random3sat_realistic_262.cnf,WalkSAT_Optimized,80,480,UNSAT
random3sat_realistic_265.cnf,WalkSAT_Optimized,60,300,UNSAT
random3sat_realistic_264.cnf,WalkSAT_Optimized,70,420,UNSAT
random3sat_realistic_266.cnf,WalkSAT_Optimized,150,600,UNSAT
random3sat_realistic_267.cnf,WalkSAT_Optimized,60,180,UNSAT
random3sat_realistic_268.cnf,WalkSAT_Optimized,80,400,UNSAT
random3sat_realistic_269.cnf,WalkSAT_Optimized,120,480,UNSAT
random3sat_realistic_27.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_270.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_272.cnf,WalkSAT_Optimized,100,400,UNSAT
random3sat_realistic_271.cnf,WalkSAT_Optimized,70,420,UNSAT
random3sat_realistic_274.cnf,WalkSAT_Optimized,60,180,SAT
random3sat_realistic_273.cnf,WalkSAT_Optimized,60,360,UNSAT
