instance,solver,num_vars,num_clauses,result,runtime_seconds
random3sat_realistic_136.cnf,WalkSAT_Optimized,120,600,UNSAT,0.2267
random3sat_realistic_142.cnf,WalkSAT_Optimized,120,360,SAT,0.0534
random3sat_realistic_139.cnf,WalkSAT_Optimized,120,480,UNSAT,0.1852
random3sat_realistic_140.cnf,WalkSAT_Optimized,70,280,UNSAT,0.1717
random3sat_realistic_143.cnf,WalkSAT_Optimized,90,270,UNSAT,0.1227
random3sat_realistic_141.cnf,WalkSAT_Optimized,80,480,UNSAT,0.3087
random3sat_realistic_144.cnf,WalkSAT_Optimized,50,300,UNSAT,0.2766
random3sat_realistic_146.cnf,WalkSAT_Optimized,80,320,UNSAT,0.17
random3sat_realistic_145.cnf,WalkSAT_Optimized,70,420,UNSAT,0.3104
random3sat_realistic_148.cnf,WalkSAT_Optimized,120,480,UNSAT,0.1989
random3sat_realistic_147.cnf,WalkSAT_Optimized,60,360,UNSAT,0.2968
random3sat_realistic_151.cnf,WalkSAT_Optimized,120,360,SAT,0.003
random3sat_realistic_149.cnf,WalkSAT_Optimized,50,300,UNSAT,0.308
random3sat_realistic_15.cnf,WalkSAT_Optimized,100,600,UNSAT,0.2969
random3sat_realistic_152.cnf,WalkSAT_Optimized,70,280,UNSAT,0.1864
random3sat_realistic_153.cnf,WalkSAT_Optimized,120,480,UNSAT,0.1864
random3sat_realistic_150.cnf,WalkSAT_Optimized,120,720,UNSAT,0.3426
random3sat_realistic_154.cnf,WalkSAT_Optimized,100,600,UNSAT,0.2861
random3sat_realistic_158.cnf,WalkSAT_Optimized,50,150,SAT,0.0031
random3sat_realistic_156.cnf,WalkSAT_Optimized,100,400,UNSAT,0.1999
random3sat_realistic_155.cnf,WalkSAT_Optimized,90,540,UNSAT,0.2981
random3sat_realistic_157.cnf,WalkSAT_Optimized,60,360,UNSAT,0.2532
random3sat_realistic_161.cnf,WalkSAT_Optimized,50,150,SAT,0.0023
random3sat_realistic_16.cnf,WalkSAT_Optimized,80,320,UNSAT,0.2015
random3sat_realistic_159.cnf,WalkSAT_Optimized,120,720,UNSAT,0.2909
random3sat_realistic_160.cnf,WalkSAT_Optimized,60,300,UNSAT,0.2371
random3sat_realistic_162.cnf,WalkSAT_Optimized,60,300,UNSAT,0.2406
random3sat_realistic_164.cnf,WalkSAT_Optimized,60,180,UNSAT,0.1274
random3sat_realistic_165.cnf,WalkSAT_Optimized,90,360,UNSAT,0.1676
random3sat_realistic_166.cnf,WalkSAT_Optimized,100,300,UNSAT,0.1692
random3sat_realistic_169.cnf,WalkSAT_Optimized,50,150,SAT,0.0028
random3sat_realistic_163.cnf,WalkSAT_Optimized,60,360,UNSAT,0.3103
random3sat_realistic_170.cnf,WalkSAT_Optimized,50,150,SAT,0.0027
random3sat_realistic_167.cnf,WalkSAT_Optimized,150,600,UNSAT,0.2063
random3sat_realistic_171.cnf,WalkSAT_Optimized,120,360,UNSAT,0.1384
random3sat_realistic_168.cnf,WalkSAT_Optimized,80,480,UNSAT,0.2914
random3sat_realistic_17.cnf,WalkSAT_Optimized,120,600,UNSAT,0.2883
random3sat_realistic_172.cnf,WalkSAT_Optimized,100,500,UNSAT,0.2279
random3sat_realistic_175.cnf,WalkSAT_Optimized,120,360,SAT,0.1325
random3sat_realistic_174.cnf,WalkSAT_Optimized,150,600,UNSAT,0.1865
random3sat_realistic_173.cnf,WalkSAT_Optimized,120,720,UNSAT,0.3295
random3sat_realistic_176.cnf,WalkSAT_Optimized,80,480,UNSAT,0.3042
random3sat_realistic_177.cnf,WalkSAT_Optimized,80,480,UNSAT,0.3289
random3sat_realistic_178.cnf,WalkSAT_Optimized,80,480,UNSAT,0.2972
random3sat_realistic_18.cnf,WalkSAT_Optimized,90,360,UNSAT,0.1759
random3sat_realistic_179.cnf,WalkSAT_Optimized,150,750,UNSAT,0.2825
random3sat_realistic_181.cnf,WalkSAT_Optimized,120,360,UNSAT,0.156
random3sat_realistic_183.cnf,WalkSAT_Optimized,50,200,UNSAT,0.1884
random3sat_realistic_182.cnf,WalkSAT_Optimized,90,360,UNSAT,0.1943
random3sat_realistic_184.cnf,WalkSAT_Optimized,150,450,UNSAT,0.1435
random3sat_realistic_180.cnf,WalkSAT_Optimized,70,420,UNSAT,0.3158
random3sat_realistic_188.cnf,WalkSAT_Optimized,90,270,SAT,0.0144
random3sat_realistic_186.cnf,WalkSAT_Optimized,100,400,UNSAT,0.1898
random3sat_realistic_185.cnf,WalkSAT_Optimized,60,240,UNSAT,0.1989
random3sat_realistic_187.cnf,WalkSAT_Optimized,50,150,UNSAT,0.1472
random3sat_realistic_190.cnf,WalkSAT_Optimized,70,210,SAT,0.0144
random3sat_realistic_189.cnf,WalkSAT_Optimized,50,200,UNSAT,0.1987
random3sat_realistic_191.cnf,WalkSAT_Optimized,120,480,UNSAT,0.2096
random3sat_realistic_192.cnf,WalkSAT_Optimized,90,360,UNSAT,0.2221
random3sat_realistic_19.cnf,WalkSAT_Optimized,120,600,UNSAT,0.2977
random3sat_realistic_193.cnf,WalkSAT_Optimized,70,280,UNSAT,0.2076
random3sat_realistic_194.cnf,WalkSAT_Optimized,120,480,UNSAT,0.2016
random3sat_realistic_197.cnf,WalkSAT_Optimized,60,180,UNSAT,0.1221
random3sat_realistic_195.cnf,WalkSAT_Optimized,50,250,UNSAT,0.2625
random3sat_realistic_2.cnf,WalkSAT_Optimized,80,320,SAT,0.0243
random3sat_realistic_196.cnf,WalkSAT_Optimized,120,720,UNSAT,0.3224
random3sat_realistic_198.cnf,WalkSAT_Optimized,50,250,UNSAT,0.2315
random3sat_realistic_199.cnf,WalkSAT_Optimized,80,480,UNSAT,0.2958
random3sat_realistic_20.cnf,WalkSAT_Optimized,150,750,UNSAT,0.2662
random3sat_realistic_201.cnf,WalkSAT_Optimized,80,480,UNSAT,0.2613
random3sat_realistic_200.cnf,WalkSAT_Optimized,150,900,UNSAT,0.3307
random3sat_realistic_202.cnf,WalkSAT_Optimized,70,350,UNSAT,0.2214
random3sat_realistic_206.cnf,WalkSAT_Optimized,80,240,UNSAT,0.1313
random3sat_realistic_203.cnf,WalkSAT_Optimized,50,300,UNSAT,0.2595
random3sat_realistic_204.cnf,WalkSAT_Optimized,80,480,UNSAT,0.2754
random3sat_realistic_208.cnf,WalkSAT_Optimized,80,240,UNSAT,0.1214
random3sat_realistic_205.cnf,WalkSAT_Optimized,70,420,UNSAT,0.2927
random3sat_realistic_207.cnf,WalkSAT_Optimized,150,450,UNSAT,0.1414
random3sat_realistic_210.cnf,WalkSAT_Optimized,100,300,SAT,0.0181
random3sat_realistic_21.cnf,WalkSAT_Optimized,80,240,UNSAT,0.1436
random3sat_realistic_212.cnf,WalkSAT_Optimized,150,450,UNSAT,0.126
random3sat_realistic_211.cnf,WalkSAT_Optimized,60,300,UNSAT,0.237
random3sat_realistic_209.cnf,WalkSAT_Optimized,90,540,UNSAT,0.2972
random3sat_realistic_216.cnf,WalkSAT_Optimized,80,240,SAT,0.0018
random3sat_realistic_213.cnf,WalkSAT_Optimized,150,750,UNSAT,0.2567
random3sat_realistic_215.cnf,WalkSAT_Optimized,120,360,UNSAT,0.1504
random3sat_realistic_219.cnf,WalkSAT_Optimized,60,180,SAT,0.0023
random3sat_realistic_214.cnf,WalkSAT_Optimized,150,900,UNSAT,0.3219
random3sat_realistic_217.cnf,WalkSAT_Optimized,90,450,UNSAT,0.2445
random3sat_realistic_22.cnf,WalkSAT_Optimized,70,210,UNSAT,0.155
random3sat_realistic_222.cnf,WalkSAT_Optimized,90,270,SAT,0.0406
random3sat_realistic_218.cnf,WalkSAT_Optimized,60,360,UNSAT,0.287
random3sat_realistic_224.cnf,WalkSAT_Optimized,60,180,SAT,0.0595
random3sat_realistic_220.cnf,WalkSAT_Optimized,60,360,UNSAT,0.2739
random3sat_realistic_226.cnf,WalkSAT_Optimized,70,210,SAT,0.0127
