instance,solver,num_vars,num_clauses,runtime_seconds,result
random3sat_realistic_202.cnf,DPLL,70,350,0.0,UNSAT
random3sat_realistic_204.cnf,DPLL,80,480,0.002,UNSAT
random3sat_realistic_203.cnf,DPLL,50,300,0.004,UNSAT
random3sat_realistic_205.cnf,DPLL,70,420,0.0048,UNSAT
random3sat_realistic_206.cnf,DPLL,80,240,0.0058,SAT
random3sat_realistic_208.cnf,DPLL,80,240,0.001,SAT
random3sat_realistic_207.cnf,DPLL,150,450,0.0,UNSAT
random3sat_realistic_209.cnf,DPLL,90,540,0.001,UNSAT
random3sat_realistic_21.cnf,DPLL,80,240,0.002,UNSAT
random3sat_realistic_211.cnf,DPLL,60,300,0.0,UNSAT
random3sat_realistic_210.cnf,DPLL,100,300,0.0,SAT
random3sat_realistic_212.cnf,DPLL,150,450,0.001,UNSAT
random3sat_realistic_216.cnf,DPLL,80,240,0.0,SAT
random3sat_realistic_215.cnf,DPLL,120,360,0.0,UNSAT
random3sat_realistic_214.cnf,DPLL,150,900,0.0,UNSAT
random3sat_realistic_213.cnf,DPLL,150,750,0.0,UNSAT
random3sat_realistic_218.cnf,DPLL,60,360,0.002,UNSAT
random3sat_realistic_219.cnf,DPLL,60,180,0.001,SAT
random3sat_realistic_22.cnf,DPLL,70,210,0.001,UNSAT
random3sat_realistic_220.cnf,DPLL,60,360,0.001,UNSAT
random3sat_realistic_221.cnf,DPLL,120,720,0.0,UNSAT
random3sat_realistic_222.cnf,DPLL,90,270,0.002,SAT
random3sat_realistic_224.cnf,DPLL,60,180,0.0,SAT
random3sat_realistic_223.cnf,DPLL,120,600,0.0013,UNSAT
random3sat_realistic_225.cnf,DPLL,60,240,0.001,UNSAT
random3sat_realistic_227.cnf,DPLL,90,270,0.001,SAT
random3sat_realistic_226.cnf,DPLL,70,210,0.0,SAT
random3sat_realistic_229.cnf,DPLL,90,270,0.0,SAT
random3sat_realistic_228.cnf,DPLL,90,360,0.001,UNSAT
random3sat_realistic_23.cnf,DPLL,70,350,0.0,UNSAT
random3sat_realistic_230.cnf,DPLL,90,540,0.004,UNSAT
random3sat_realistic_231.cnf,DPLL,80,320,0.001,UNSAT
random3sat_realistic_232.cnf,DPLL,120,360,0.0015,SAT
random3sat_realistic_233.cnf,DPLL,120,720,0.004,UNSAT
random3sat_realistic_234.cnf,DPLL,120,360,0.004,UNSAT
random3sat_realistic_235.cnf,DPLL,90,360,0.002,UNSAT
random3sat_realistic_236.cnf,DPLL,90,270,0.003,SAT
random3sat_realistic_237.cnf,DPLL,100,600,0.002,UNSAT
random3sat_realistic_239.cnf,DPLL,60,240,0.001,UNSAT
random3sat_realistic_24.cnf,DPLL,80,240,0.0054,UNSAT
random3sat_realistic_240.cnf,DPLL,60,240,0.001,UNSAT
random3sat_realistic_241.cnf,DPLL,100,300,0.002,UNSAT
random3sat_realistic_242.cnf,DPLL,150,750,0.0015,UNSAT
random3sat_realistic_243.cnf,DPLL,120,600,0.0,UNSAT
random3sat_realistic_244.cnf,DPLL,70,420,0.0041,UNSAT
random3sat_realistic_246.cnf,DPLL,120,480,0.0,UNSAT
random3sat_realistic_245.cnf,DPLL,150,600,0.002,UNSAT
random3sat_realistic_247.cnf,DPLL,60,360,0.002,UNSAT
random3sat_realistic_248.cnf,DPLL,100,500,0.0,UNSAT
random3sat_realistic_25.cnf,DPLL,100,300,0.0059,UNSAT
random3sat_realistic_251.cnf,DPLL,60,180,0.002,SAT

random3sat_realistic_252.cnf,DPLL,120,480,0.003,UNSAT
random3sat_realistic_253.cnf,DPLL,60,240,0.0025,UNSAT
random3sat_realistic_255.cnf,DPLL,100,400,0.0025,UNSAT
random3sat_realistic_254.cnf,DPLL,60,180,0.0048,UNSAT
random3sat_realistic_256.cnf,DPLL,120,360,0.0033,SAT
random3sat_realistic_258.cnf,DPLL,90,270,0.0038,SAT
random3sat_realistic_257.cnf,DPLL,150,900,0.0063,UNSAT
random3sat_realistic_259.cnf,DPLL,70,280,0.0055,UNSAT
random3sat_realistic_26.cnf,DPLL,60,180,0.001,SAT
random3sat_realistic_260.cnf,DPLL,120,360,0.001,SAT
random3sat_realistic_261.cnf,DPLL,100,600,0.002,UNSAT
random3sat_realistic_262.cnf,DPLL,80,480,0.0,UNSAT
random3sat_realistic_264.cnf,DPLL,70,420,0.001,UNSAT
random3sat_realistic_263.cnf,DPLL,70,210,0.001,SAT
random3sat_realistic_268.cnf,DPLL,80,400,0.0,UNSAT
random3sat_realistic_267.cnf,DPLL,60,180,0.0,UNSAT
random3sat_realistic_265.cnf,DPLL,60,300,0.001,UNSAT
random3sat_realistic_266.cnf,DPLL,150,600,0.005,UNSAT
random3sat_realistic_270.cnf,DPLL,60,360,0.003,UNSAT
random3sat_realistic_269.cnf,DPLL,120,480,0.002,UNSAT
random3sat_realistic_27.cnf,DPLL,60,360,0.001,UNSAT
random3sat_realistic_273.cnf,DPLL,60,360,0.0,UNSAT
T
random3sat_realistic_271.cnf,DPLL,70,420,0.001,UNSAT
random3sat_realistic_276.cnf,DPLL,100,600,0.001,UNSAT
random3sat_realistic_278.cnf,DPLL,70,350,0.001,UNSAT
random3sat_realistic_275.cnf,DPLL,120,720,0.001,UNSAT
random3sat_realistic_277.cnf,DPLL,120,720,0.001,UNSAT
random3sat_realistic_279.cnf,DPLL,60,180,0.0035,SAT
random3sat_realistic_28.cnf,DPLL,150,750,0.005,UNSAT
random3sat_realistic_280.cnf,DPLL,80,400,0.007,UNSAT
random3sat_realistic_282.cnf,DPLL,50,250,0.001,UNSAT
random3sat_realistic_281.cnf,DPLL,100,400,0.001,UNSAT
random3sat_realistic_283.cnf,DPLL,120,480,0.0014,UNSAT
random3sat_realistic_284.cnf,DPLL,150,750,0.0,UNSAT
random3sat_realistic_286.cnf,DPLL,70,210,0.0011,UNSAT
random3sat_realistic_29.cnf,DPLL,50,250,0.003,UNSAT
random3sat_realistic_288.cnf,DPLL,60,360,0.002,UNSAT
random3sat_realistic_287.cnf,DPLL,80,240,0.0056,SAT
random3sat_realistic_289.cnf,DPLL,80,320,0.0055,UNSAT
random3sat_realistic_291.cnf,DPLL,80,480,0.001,UNSAT
random3sat_realistic_290.cnf,DPLL,50,250,0.002,UNSAT
random3sat_realistic_292.cnf,DPLL,60,300,0.002,UNSAT
random3sat_realistic_293.cnf,DPLL,50,300,0.002,UNSAT
random3sat_realistic_295.cnf,DPLL,60,240,0.0,UNSAT
random3sat_realistic_294.cnf,DPLL,80,400,0.001,UNSAT
random3sat_realistic_296.cnf,DPLL,70,210,0.0035,SAT
random3sat_realistic_297.cnf,DPLL,60,180,0.003,SAT
random3sat_realistic_298.cnf,DPLL,90,360,0.004,UNSAT
random3sat_realistic_299.cnf,DPLL,80,480,0.0053,UNSAT
random3sat_realistic_3.cnf,DPLL,60,240,0.0043,UNSAT
random3sat_realistic_300.cnf,DPLL,100,300,0.0025,UNSAT
random3sat_realistic_30.cnf,DPLL,120,720,0.0015,UNSAT
random3sat_realistic_301.cnf,DPLL,90,270,0.002,UNSAT
random3sat_realistic_302.cnf,DPLL,150,900,0.002,UNSAT
random3sat_realistic_303.cnf,DPLL,50,200,0.0,UNSAT
random3sat_realistic_304.cnf,DPLL,150,450,0.0025,UNSAT
random3sat_realistic_307.cnf,DPLL,50,300,0.001,UNSAT
random3sat_realistic_308.cnf,DPLL,50,300,0.001,UNSAT
random3sat_realistic_306.cnf,DPLL,90,360,0.001,UNSAT
random3sat_realistic_309.cnf,DPLL,70,420,0.001,UNSAT
random3sat_realistic_31.cnf,DPLL,50,200,0.0,UNSAT
random3sat_realistic_310.cnf,DPLL,70,210,0.003,SAT
random3sat_realistic_311.cnf,DPLL,60,360,0.0,UNSAT
random3sat_realistic_315.cnf,DPLL,150,600,0.001,UNSAT
random3sat_realistic_313.cnf,DPLL,60,360,0.002,UNSAT
random3sat_realistic_314.cnf,DPLL,150,750,0.0,UNSAT
random3sat_realistic_312.cnf,DPLL,90,360,0.0,UNSAT
random3sat_realistic_319.cnf,DPLL,60,300,0.001,UNSAT
random3sat_realistic_317.cnf,DPLL,80,320,0.001,UNSAT
random3sat_realistic_318.cnf,DPLL,50,150,0.002,SAT
random3sat_realistic_316.cnf,DPLL,80,320,0.0015,UNSAT
random3sat_realistic_322.cnf,DPLL,120,360,0.0005,SAT
random3sat_realistic_320.cnf,DPLL,100,600,0.0015,UNSAT
random3sat_realistic_32.cnf,DPLL,70,350,0.0045,UNSAT
random3sat_realistic_321.cnf,DPLL,120,360,0.004,UNSAT
